security;time;close;volume;open;high;low
AMZN;20201218T00:00:00;3201.65;5995713;3243.99;3249.42;3171.6
AMZN;20201217T00:00:00;3236.08;3474347;3250;3263.51;3221
AMZN;20201216T00:00:00;3240.96;4427616;3176.01;3247;3163.68
AMZN;20201215T00:00:00;3165.12;3323686;3181.01;31.884.999;3130.49
AMZN;20201214T00:00:00;3156.97;4155794;3143;3190.47;3126
AMZN;20201211T00:00:00;3116.42;3064695;3096.66;3118.67;3072.82
AMZN;20201210T00:00:00;3101.49;3030186;3088.99;3142.1;3076
AMZN;20201209T00:00:00;3104.2;4100836;3167.89;3174.43;3088
AMZN;20201208T00:00:00;3177.29;3286303;3158.9;3184.13;3120.02
AMZN;20201207T00:00:00;3158;2751316;3156.48;3180.76;3141.69
AMZN;20201204T00:00:00;3162.58;2913611;3198.21;3198.21;3158.76
AMZN;20201203T00:00:00;3186.73;2892039;3205.46;3228.64;3181.31
AMZN;20201202T00:00:00;3203.53;3129304;3221.65;3232;31.732.601
AMZN;20201201T00:00:00;3220.08;4544382;3188.5;3248.95;3157.18
AMZN;20201130T00:00:00;3168.04;4063916;3208.48;3228.39;3125.55
AMZN;20201127T00:00:00;3195.34;2392867;3211.26;3216.19;3190.05
AMZN;20201125T00:00:00;3185.07;3790403;3141.87;3198;3140.26
AMZN;20201124T00:00:00;3118.06;3602102;3100.5;3134.25;3.086.258
AMZN;20201123T00:00:00;3098.39;4708887;3.116.699;3.139.745;3065.46
AMZN;20201120T00:00:00;3099.4;3380138;3117.02;3132.89;30.980.456
AMZN;20201119T00:00:00;3117.02;3010270;3105.31;3125;3080.92
AMZN;20201118T00:00:00;3105.46;2916836;3134;3140;3105.1
AMZN;20201117T00:00:00;3135.66;3444735;3.183.545;3189.25;3135.26
AMZN;20201116T00:00:00;3131.06;3808676;3093.2;3142.7;3.072.685
AMZN;20201113T00:00:00;3128.81;3762587;3122;31.417.227;3085.39
AMZN;20201112T00:00:00;3110.28;4371208;3159.95;3175.88;3086.05
AMZN;20201111T00:00:00;3137.39;4366923;3061.78;3.139.145;3050
AMZN;20201110T00:00:00;3035.02;6590956;3095.02;3114;30.194.828
AMZN;20201109T00:00:00;3143.74;7190406;3231.03;3289;31.121.057
